"Antibiotic","KENYA_30_SAMPLE_POOL_20M","KENYA_30_SAMPLE_POOL_50M","KENYA_30_SAMPLE_POOL","KENYA_POP_POOL_20M","KENYA_POP_POOL_50M","UK_30_SAMPLE_POOL_20M","UK_30_SAMPLE_POOL_50M","UK_30_SAMPLE_POOL","UK_POP_POOL_20M","UK_POP_POOL_50M"
"AB_BPI",0,0,0.999731615673645,0,0,0,0,0,0,0
"AB_Bacitracin_All",33.5911240875912,74.0442238442822,281.15997810219,18.9167226277372,57.6623844282238,47.8600875912409,119.024321167883,417.542072992701,73.6622603406326,199.989610705596
"AB_Bleomycin_All",298.241564656624,722.442344647477,2690.66875430821,295.293030751614,709.794667981524,1279.63574268995,3150.84771510934,11325.1139710502,1372.43321126053,3456.17662156239
"AB_Clofazimine",0.729626580857592,1.04156473960822,1.67285484242006,0.9951245575369,0.999579242636746,3.18332122592555,4.2135382500933,8.08992521708269,4.41620140854285,9.89648944099379
"AB_Colistin_All",40.3417856616219,94.8620279258166,347.18897910477,15.2056243328691,30.1895696752812,14.6145590341859,29.4972913878594,83.1989842253985,13.9332407745572,26.0727094861481
"AB_G418",49.0672948464005,121.226188050402,438.073594550609,47.3314214250704,119.305053732974,184.874750974735,453.905149695579,1610.21340559184,179.416885477761,474.230204961466
"AB_GE2270A",33.325467159229,84.7719380442465,283.349869710223,36.7050213234702,82.6453080193511,159.496258247368,356.276006759181,1292.17573309246,162.756709741406,421.082665214753
"AB_Gentamicin_All",128.217506513078,294.319005574155,1080.0426449531,103.429172664727,263.50742450468,315.775357784921,750.151192875343,2727.00931108407,356.051532384227,920.229286978342
"AB_LFF571",33.325467159229,84.7719380442465,283.349869710223,36.7050213234702,82.6453080193511,159.496258247368,356.276006759181,1292.17573309246,162.756709741406,421.082665214753
"AB_Lividomycin_All",49.0672948464005,119.234209262645,435.778012689132,47.3314214250704,119.305053732974,184.874750974735,452.907386616032,1609.21479053243,179.416885477761,474.230204961466
"AB_Penicillin_All",13.9934362005919,40.8287042677051,137.033694508586,13.5403326658247,30.6155649511627,19.8055446535108,45.8424012654793,156.256104348704,36.774366770902,89.8381183527939
"AB_Polymyxin_All",30.3003192597762,72.2754260809501,259.666730929673,20.9691760218304,57.2535246824506,68.5679856268231,164.259956813433,602.474172204967,99.0356897886684,254.328984315283
"AB_Pristinamycin_All",263.925925681844,639.416377446514,2374.5232824693,294.900288594727,700.78642565834,1133.39831197788,2798.53183808095,10058.8104113377,1229.15639462951,3074.54635934382
"AB_Sulfonamides_All",262.000604008279,650.360010262073,2395.13092112384,173.889683541882,464.819130105576,160.37626186082,412.158537712489,1459.84011433162,336.043322385648,831.928497408949
"AB_Vernamycin_All",263.925925681844,639.416377446514,2373.52213532152,294.900288594727,700.78642565834,1133.39831197788,2798.53183808095,10058.8104113377,1229.15639462951,3074.54635934382
"AB_acriflavine",107.375290457361,247.55279286897,897.92020702299,79.2519092547523,170.503848585066,135.691694525479,315.949335699922,1103.48238944636,233.334225798795,555.247492621014
"AB_amikacin",80.5351413989483,183.073057782165,682.942582056204,75.1723043066289,185.919769771693,235.271160700144,558.586890114971,2043.05054043275,250.289951471136,647.771771517504
"AB_amoxicillin",28.3825513151519,69.208533876415,254.890814879318,12.258206743926,26.0973934993317,10.5677636780479,16.3334064898421,42.2590430290694,5.99837882984268,7.85496550002706
"AB_ampicillin",286.262899965459,699.415221175083,2606.86605948418,217.464259499974,509.22300512134,613.09927048052,1502.12596369012,5381.55326409764,779.214778264008,1958.38693546164
"AB_apramycin",45.0703133879199,107.763867326101,400.922844677465,42.4080844721,101.899562080921,175.074630247027,428.944707369625,1535.05107516336,169.110259090327,448.641576521949
"AB_arbekacin",77.6879785309521,175.101502226609,655.668178764023,74.0199557307699,184.353533049137,233.726129466471,557.330254471269,2039.2223699903,248.961680059401,646.678343249042
"AB_astromicin",45.0703133879199,107.763867326101,400.922844677465,42.4080844721,101.899562080921,175.074630247027,428.944707369625,1535.05107516336,169.110259090327,448.641576521949
"AB_azidamfenicol",263.714808290165,636.157919268436,2357.24380609637,257.957539159641,624.302022216782,1107.3388206574,2732.55801860199,9829.23722525417,1212.8197957721,3037.68183907757
"AB_azithromycin",90.0840452234237,201.933926001,754.923385207792,131.578683693261,310.536105100619,145.671044180927,352.25931050506,1250.56672578882,217.239518417497,533.942929344485
"AB_azlocillin",0,2.68438134975446,4.28320211092526,0.811020125213925,1.84556299256252,1.69038701841533,2.81655813914496,7.22455247718053,1.25849715399134,2.08731014313447
"AB_aztreonam",38.2725682058283,94.6605612492039,340.122821210405,14.1501452022772,25.8342866362439,13.7658515146858,20.6724318504541,53.1470555126948,5.29886243867603,10.8796056279717
"AB_balofloxacin",23.3625286532622,50.0674427512925,186.727184421042,22.1494916500063,54.6361834271487,97.5372361930945,239.324725513667,830.910683241034,105.628865143251,271.659261797219
"AB_brodimoprim",140.836783809325,362.874453126788,1334.87528820652,142.993023616508,335.89777657161,92.5265709471544,221.061255965464,797.117555315924,114.778339891398,297.912570011807
"AB_butirosin",46.5566384099128,113.926281333984,415.215893205609,45.2678379312195,111.635428747588,181.726206347656,446.346233971185,1588.91269776993,173.627227643786,461.862289729496
"AB_carbenicillin",0,2.68438134975446,4.28320211092526,0.811020125213925,1.84556299256252,1.69038701841533,2.81655813914496,7.22455247718053,1.25849715399134,2.08731014313447
"AB_cefaclor",0,2.68438134975446,4.28320211092526,0.811020125213925,1.84556299256252,1.69038701841533,2.81655813914496,7.22455247718053,1.25849715399134,2.08731014313447
"AB_cefadroxil",0,2.68438134975446,4.28320211092526,0.811020125213925,1.84556299256252,1.69038701841533,2.81655813914496,7.22455247718053,1.25849715399134,2.08731014313447
"AB_cefalexin",0,2.68438134975446,4.28320211092526,0.811020125213925,1.84556299256252,1.69038701841533,2.81655813914496,7.22455247718053,1.25849715399134,2.08731014313447
"AB_cefalotin",259.051915362363,636.704701090183,2367.80227244678,208.97566937249,490.76008221691,605.224400086551,1489.61162160508,5348.93306615801,775.675593365562,1953.51839519272
"AB_cefazolin",10.190728980812,29.7551286743414,98.3884502993311,8.3676393691088,18.5498564708234,29.1506436325325,72.9613017711169,250.899916607615,28.8188159945711,79.9034079692214
